case_id,source_id,support_scope,source_supports,label_status
CA-001,SRC-ALS-2026-JPI,quality_control_precedent,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-001,SRC-BENCH-EXTRAPOLATION,benchmark_extrapolation,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-002,SRC-SCHROTER-2024-SD,empirical_dataset_context,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-003,SRC-ALS-2026-JPI,quality_control_precedent,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-004,SRC-SCHROTER-2024-SD,empirical_dataset_context,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-005,SRC-SCHROTER-2024-SD,empirical_dataset_context,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-006,SRC-BENCH-EXTRAPOLATION,benchmark_extrapolation,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-007,SRC-ALS-2026-JPI,quality_control_precedent,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-007,SRC-ZHAO-2026-SCOPE,uncertainty_method_context,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-008,SRC-SAKR-2026-DT,governance_principle,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-008,SRC-BENCH-EXTRAPOLATION,benchmark_extrapolation,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-009,SRC-ISSCR-2023-STANDARDS,research_standard,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-009,SRC-SAKR-2026-DT,governance_principle,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-010,SRC-ISSCR-2023-STANDARDS,research_standard,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-011,SRC-ISSCR-2023-STANDARDS,research_standard,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-012,SRC-ALS-2023-FBIOE,direct_biological_context,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-013,SRC-ALS-2023-FBIOE,direct_biological_context,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-014,SRC-SAKR-2026-DT,governance_principle,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-015,SRC-SAKR-2026-DT,governance_principle,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-016,SRC-ISSCR-2023-STANDARDS,research_standard,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-016,SRC-SAKR-2026-DT,governance_principle,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-017,SRC-ISSCR-2023-STANDARDS,research_standard,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-018,SRC-SAKR-2026-DT,governance_principle,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-018,SRC-GRZELAK-2026-ESWA,reviewed_system_barrier,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-019,SRC-SCHROTER-2024-SD,empirical_dataset_context,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-019,SRC-SAKR-2026-DT,governance_principle,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-020,SRC-SCHROTER-2024-SD,empirical_dataset_context,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-021,SRC-SAKR-2026-DT,governance_principle,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-022,SRC-SAKR-2026-DT,governance_principle,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-023,SRC-SCHROTER-2024-SD,empirical_dataset_context,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-024,SRC-SCHROTER-2024-SD,empirical_dataset_context,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-024,SRC-BENCH-EXTRAPOLATION,benchmark_extrapolation,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-025,SRC-GRZELAK-2026-ESWA,reviewed_system_barrier,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-026,SRC-SCHROTER-2024-SD,empirical_dataset_context,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-027,SRC-ALS-2023-FBIOE,direct_biological_context,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-028,SRC-ALS-2022-SCCAA,direct_biological_context,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-028,SRC-BENCH-EXTRAPOLATION,benchmark_extrapolation,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-029,SRC-ALS-2023-FBIOE,direct_biological_context,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-030,SRC-WANG-2025-AGENTIC,empirical_system_context,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-031,SRC-GRZELAK-2026-ESWA,reviewed_system_barrier,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-032,SRC-ZHAO-2026-SCOPE,uncertainty_method_context,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-033,SRC-SCHROTER-2024-SD,empirical_dataset_context,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-034,SRC-BENCH-EXTRAPOLATION,benchmark_extrapolation,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-035,SRC-BENCH-EXTRAPOLATION,benchmark_extrapolation,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-036,SRC-BENCH-EXTRAPOLATION,benchmark_extrapolation,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-037,SRC-BENCH-EXTRAPOLATION,benchmark_extrapolation,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-038,SRC-BENCH-EXTRAPOLATION,benchmark_extrapolation,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-039,SRC-SAKR-2026-DT,governance_principle,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-040,SRC-BENCH-EXTRAPOLATION,benchmark_extrapolation,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-041,SRC-BENCH-EXTRAPOLATION,benchmark_extrapolation,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-042,SRC-ANGERS-2026-XCRP,empirical_system_context,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-042,SRC-WANG-2025-AGENTIC,empirical_system_context,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-043,SRC-BENCH-EXTRAPOLATION,benchmark_extrapolation,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-044,SRC-GRZELAK-2026-ESWA,reviewed_system_barrier,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-045,SRC-BENCH-EXTRAPOLATION,benchmark_extrapolation,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-046,SRC-BENCH-EXTRAPOLATION,benchmark_extrapolation,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-047,SRC-BENCH-EXTRAPOLATION,benchmark_extrapolation,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-048,SRC-SAKR-2026-DT,governance_principle,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-049,SRC-GRZELAK-2026-ESWA,reviewed_system_barrier,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-050,SRC-BENCH-EXTRAPOLATION,benchmark_extrapolation,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-051,SRC-ALS-2023-FBIOE,direct_biological_context,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-052,SRC-SAKR-2026-DT,governance_principle,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
CA-052,SRC-GRZELAK-2026-ESWA,reviewed_system_barrier,Scenario context or design principle; it does not independently validate the provisional autonomy label.,provisional_author_judgment
