source_id,short_name,year,title,source_type,doi,pmid,url,peer_status,principle
SRC-ISSCR-2023-STANDARDS,ISSCR-2023,2023,ISSCR standards for the use of human stem cells in basic research,peer_reviewed_standard_perspective,10.1016/j.stemcr.2023.08.003,37703820,https://doi.org/10.1016/j.stemcr.2023.08.003,peer_reviewed,"Cell identity/authentication, traceability, contamination control, genomic monitoring, and reporting are required for rigorous stem-cell research."
SRC-ALS-2026-JPI,Alsobaie-2026-AI,2026,An integrated AI pipeline for automated cytogenetic analysis of bone marrow karyograms in hematological malignancies,peer_reviewed_empirical,10.1016/j.jpi.2026.100677,,https://doi.org/10.1016/j.jpi.2026.100677,peer_reviewed,Demonstrates an expert-gated biomedical AI workflow with explicit quality-control escalation and human validation.
SRC-WANG-2025-AGENTIC,Agentic-Lab-2025,2025,Agentic Lab: An Agentic-physical AI system for cell and organoid experimentation and manufacturing,preprint_empirical,10.1101/2025.11.11.686354,41292801,https://doi.org/10.1101/2025.11.11.686354,preprint,"Shows agentic AI integrated with hPSC-derived organoid experimentation, multimodal monitoring, protocol generation, and human physical execution."
SRC-SAKR-2026-DT,Sakr-2026,2026,Organoid-AI platforms need integrated governance in drug discovery,peer_reviewed_governance,10.1016/j.drudis.2026.104732,42401253,https://doi.org/10.1016/j.drudis.2026.104732,peer_reviewed,"Argues for linked provenance, transportability testing, context of use, and predefined fallback rules in organoid-AI decision systems."
SRC-SCHROTER-2024-SD,Schroter-2024,2024,"A large and diverse brain organoid dataset of 1,400 cross-laboratory images of 64 trackable brain organoids",peer_reviewed_data_descriptor,10.1038/s41597-024-03330-z,38769371,https://doi.org/10.1038/s41597-024-03330-z,peer_reviewed,"Provides cross-laboratory, clone-diverse, longitudinal organoid images with imaging distractors and pixel-level annotations for generalizability testing."
SRC-GRZELAK-2026-ESWA,SDL-2026,2026,Self-Driving Labs: A New Paradigm in Cell Culture,peer_reviewed_review,10.1016/j.eswa.2026.134110,,https://doi.org/10.1016/j.eswa.2026.134110,peer_reviewed_in_press,"Reviews self-driving cell-culture architectures and recurring autonomy barriers including sparse sensing, integration, and data-pipeline brittleness."
SRC-ANGERS-2026-XCRP,RoboCulture-2026,2026,RoboCulture enables modular robotic plate-based cell automation,peer_reviewed_empirical,10.1016/j.xcrp.2026.103335,,https://doi.org/10.1016/j.xcrp.2026.103335,peer_reviewed,"Demonstrates modular robotic cell culture with visual servoing, perception, and behavior-tree execution."
SRC-ZHAO-2026-SCOPE,SCOPE-2026,2026,SCOPE: Localizing fate-decision states and their regulatory drivers in single-cell differentiation,preprint_method,10.64898/2026.04.07.717037,,https://doi.org/10.64898/2026.04.07.717037,preprint,Uses conformal prediction to represent calibrated uncertainty over plausible future cell fates and localize fate-decision states.
SRC-ALS-2023-FBIOE,Alsobaie-2023,2023,Differentiation of human induced pluripotent stem cells into functional lung alveolar epithelial cells in 3D dynamic culture,peer_reviewed_empirical,10.3389/fbioe.2023.1173149,37388774,https://doi.org/10.3389/fbioe.2023.1173149,peer_reviewed,"Demonstrates context- and stage-dependent iPSC differentiation in 3D dynamic culture, including heterogeneous and morphology-dependent states."
SRC-ALS-2022-SCCAA,Alsobaie-2022,2022,"Rho-Associated Protein Kinase Inhibitor and Hypoxia Synergistically Enhance the Self-Renewal, Survival Rate, and Proliferation of Human Stem Cells",peer_reviewed_empirical,10.2147/SCCAA.S365776,,https://doi.org/10.2147/SCCAA.S365776,peer_reviewed,Shows that low oxygen is context-dependent rather than intrinsically adverse: hypoxia combined with ROCK inhibition enhanced hPSC survival and proliferation while maintaining self-renewal.
SRC-BENCH-EXTRAPOLATION,benchmark_extrapolation,2026,CellAutonomyBench design extrapolation,benchmark_design,,,,not_external_evidence,Marks decision logic introduced by the benchmark authors rather than directly established by an external source.
