case_id,source_id,source_type,support_role,source_supports,source_does_not_establish
CA-001,SRC-ALS-2026-JPI,peer_reviewed_empirical,mixed,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-001,SRC-BENCH-EXTRAPOLATION,benchmark_design,mixed,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-002,SRC-SCHROTER-2024-SD,peer_reviewed_data_descriptor,empirical_dataset_context,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-003,SRC-ALS-2026-JPI,peer_reviewed_empirical,quality_control_precedent,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-004,SRC-SCHROTER-2024-SD,peer_reviewed_data_descriptor,empirical_dataset_context,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-005,SRC-SCHROTER-2024-SD,peer_reviewed_data_descriptor,empirical_dataset_context,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-006,SRC-BENCH-EXTRAPOLATION,benchmark_design,benchmark_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-007,SRC-ALS-2026-JPI,peer_reviewed_empirical,mixed,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-007,SRC-ZHAO-2026-SCOPE,preprint_method,mixed,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-008,SRC-SAKR-2026-DT,peer_reviewed_governance,mixed,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-008,SRC-BENCH-EXTRAPOLATION,benchmark_design,mixed,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-009,SRC-ISSCR-2023-STANDARDS,peer_reviewed_standard_perspective,mixed,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-009,SRC-SAKR-2026-DT,peer_reviewed_governance,mixed,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-010,SRC-ISSCR-2023-STANDARDS,peer_reviewed_standard_perspective,research_standard,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-011,SRC-ISSCR-2023-STANDARDS,peer_reviewed_standard_perspective,research_standard,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-012,SRC-ALS-2023-FBIOE,peer_reviewed_empirical,direct_biological_context,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-013,SRC-ALS-2023-FBIOE,peer_reviewed_empirical,direct_biological_context,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-014,SRC-SAKR-2026-DT,peer_reviewed_governance,governance_principle,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-015,SRC-SAKR-2026-DT,peer_reviewed_governance,governance_principle,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-016,SRC-ISSCR-2023-STANDARDS,peer_reviewed_standard_perspective,mixed,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-016,SRC-SAKR-2026-DT,peer_reviewed_governance,mixed,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-017,SRC-ISSCR-2023-STANDARDS,peer_reviewed_standard_perspective,research_standard,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-018,SRC-SAKR-2026-DT,peer_reviewed_governance,mixed,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-018,SRC-GRZELAK-2026-ESWA,peer_reviewed_review,mixed,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-019,SRC-SCHROTER-2024-SD,peer_reviewed_data_descriptor,mixed,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-019,SRC-SAKR-2026-DT,peer_reviewed_governance,mixed,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-020,SRC-SCHROTER-2024-SD,peer_reviewed_data_descriptor,empirical_dataset_context,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-021,SRC-SAKR-2026-DT,peer_reviewed_governance,governance_principle,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-022,SRC-SAKR-2026-DT,peer_reviewed_governance,governance_principle,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-023,SRC-SCHROTER-2024-SD,peer_reviewed_data_descriptor,empirical_dataset_context,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-024,SRC-SCHROTER-2024-SD,peer_reviewed_data_descriptor,mixed,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-024,SRC-BENCH-EXTRAPOLATION,benchmark_design,mixed,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-025,SRC-GRZELAK-2026-ESWA,peer_reviewed_review,reviewed_system_barrier,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-026,SRC-SCHROTER-2024-SD,peer_reviewed_data_descriptor,empirical_dataset_context,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-027,SRC-ALS-2023-FBIOE,peer_reviewed_empirical,direct_biological_context,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-028,SRC-ALS-2022-SCCAA,peer_reviewed_empirical,mixed,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
